frequency,wind_speed,distance,wind_direction,flow_resistivity,Nord2000 (delhom),Acventum (delhom),BE2 (Iso9613),Iso9613 (windPro),Nord2000 (windPro)
1250,5,500,0,12.5,-0.7,-1.71,-2.851,-2.29,-2.06
1600,5,500,0,12.5,-1.1,-2.44,-3.641,-4.99,-2.96
2000,5,500,0,12.5,-1.8,-3.47,-5.06,-4.99,-4.36
2500,5,500,0,12.5,-2.7,-5.07,-7.131,-4.99,-6.56
3150,5,500,0,12.5,-3.8,-7.66,-10.559,-15.87,-9.96
4000,5,500,0,12.5,-5.7,-11.9,-15.93,-15.87,-15.16
5000,5,500,0,12.5,-9.2,-18.09,-24.309,-15.87,-23.06
6300,5,500,0,12.5,-14.3,-27.95,-37.139,-56.69,-34.76
8000,5,500,0,12.5,-22.4,-43.67,-56.849,-56.69,-51.26
10000,5,500,0,12.5,-34.9,-65.68,-86.368,-56.69,-73.16
50,5,500,90,12.5,0.7,3.3,2.972,2.91,-0.56
63,5,500,90,12.5,-2.6,3.3,2.837,2.91,-1.16
80,5,500,90,12.5,0.4,3.29,2.847,2.91,-2.76
100,5,500,90,12.5,0.3,0.28,-3.215,-3.28,-4.86
125,5,500,90,12.5,0.3,0.26,-3.26,-3.28,-4.06
160,5,500,90,12.5,0.3,0.24,-3.408,-3.28,-1.66
200,5,500,90,12.5,0.2,0.21,-6.489,-6.65,-0.26
250,5,500,90,12.5,0.2,0.18,-6.629,-6.65,1.54
315,5,500,90,12.5,0.1,0.14,-6.848,-6.65,2.74
400,5,500,90,12.5,0,0.1,-3.251,-3.46,3.04
500,5,500,90,12.5,-0.1,0.05,-3.427,-3.46,2.34
630,5,500,90,12.5,-0.1,0,-3.759,-3.46,-0.26
800,5,500,90,12.5,-0.3,-0.06,-1.936,-2.29,-2.86
1000,5,500,90,12.5,-0.5,-0.14,-2.36,-2.29,-1.56
1250,5,500,90,12.5,-0.7,-0.26,-2.851,-2.29,-2.06
1600,5,500,90,12.5,-1.1,-0.46,-3.641,-4.99,-2.96
2000,5,500,90,12.5,-1.8,-0.75,-5.06,-4.99,-4.36
2500,5,500,90,12.5,-2.7,-1.2,-7.131,-4.99,-6.56
3150,5,500,90,12.5,-3.8,-1.92,-10.559,-15.87,-9.96
4000,5,500,90,12.5,-5.7,-3.09,-15.93,-15.87,-15.16
5000,5,500,90,12.5,-9.2,-4.81,-24.309,-15.87,-23.06
6300,5,500,90,12.5,-14.3,-7.55,-37.139,-56.69,-34.76
8000,5,500,90,12.5,-22.4,-11.92,-56.849,-56.69,-51.26
10000,5,500,90,12.5,-34.9,-18.03,-86.368,-56.69,-73.16
50,5,500,180,12.5,0.6,5.65,2.972,2.91,-1.16
63,5,500,180,12.5,-2.7,5.55,2.837,2.91,-0.76
80,5,500,180,12.5,0.4,5.36,2.847,2.91,-0.96
100,5,500,180,12.5,0.3,2.13,-3.215,-3.28,-2.26
125,5,500,180,12.5,0.3,1.77,-3.26,-3.28,-3.46
