frequency,wind_speed,distance,wind_direction,flow_resistivity,Nord2000 (delhom),Acventum (delhom),BE2 (Iso9613),Iso9613 (windPro),Nord2000 (windPro),geometric_div
50,5,500,0,12.5,0.9,3.32,2.972,2.91,0.74,-65.05104356
63,5,500,0,12.5,1.6,3.3,2.837,2.91,-0.46,-65.05104356
80,5,500,0,12.5,0.3,3.27,2.847,2.91,-3.56,-65.05104356
100,5,500,0,12.5,0.3,0.24,-3.215,-3.28,-4.96,-65.05104356
125,5,500,0,12.5,0.3,0.18,-3.26,-3.28,-2.46,-65.05104356
160,5,500,0,12.5,0.2,0.1,-3.408,-3.28,-0.86,-65.05104356
200,5,500,0,12.5,0.2,0,-6.489,-6.65,1.14,-65.05104356
250,5,500,0,12.5,0.2,-0.12,-6.629,-6.65,2.64,-65.05104356
315,5,500,0,12.5,0.1,-0.26,-6.848,-6.65,3.14,-65.05104356
400,5,500,0,12.5,0,-0.42,-3.251,-3.46,2.34,-65.05104356
500,5,500,0,12.5,0,-0.57,-3.427,-3.46,-0.56,-65.05104356
630,5,500,0,12.5,-0.1,-0.75,-3.759,-3.46,-3.56,-65.05104356
800,5,500,0,12.5,-0.2,-0.99,-1.936,-2.29,-0.66,-65.05104356
1000,5,500,0,12.5,-0.4,-1.28,-2.36,-2.29,-1.06,-65.05104356
1250,5,500,0,12.5,-0.6,-1.71,-2.851,-2.29,-2.06,-65.05104356
1600,5,500,0,12.5,-1,-2.44,-3.641,-4.99,-2.96,-65.05104356
2000,5,500,0,12.5,-1.6,-3.47,-5.06,-4.99,-4.36,-65.05104356
2500,5,500,0,12.5,-2.5,-5.07,-7.131,-4.99,-6.56,-65.05104356
3150,5,500,0,12.5,-3.9,-7.66,-10.559,-15.87,-9.96,-65.05104356
4000,5,500,0,12.5,-6.1,-11.9,-15.93,-15.87,-15.16,-65.05104356
5000,5,500,0,12.5,-9.7,-18.09,-24.309,-15.87,-23.06,-65.05104356
6300,5,500,0,12.5,-14.8,-27.95,-37.139,-56.69,-34.76,-65.05104356
8000,5,500,0,12.5,-22.7,-43.67,-56.849,-56.69,-51.26,-65.05104356
10000,5,500,0,12.5,-34.7,-65.68,-86.368,-56.69,-73.16,-65.05104356
50,5,500,90,12.5,0.9,3.3,2.972,2.91,-0.56,-65.05104356
63,5,500,90,12.5,1.9,3.3,2.837,2.91,-1.16,-65.05104356
80,5,500,90,12.5,0.3,3.29,2.847,2.91,-2.76,-65.05104356
100,5,500,90,12.5,0.3,0.28,-3.215,-3.28,-4.86,-65.05104356
125,5,500,90,12.5,0.3,0.26,-3.26,-3.28,-4.06,-65.05104356
160,5,500,90,12.5,0.2,0.24,-3.408,-3.28,-1.66,-65.05104356
200,5,500,90,12.5,0.2,0.21,-6.489,-6.65,-0.26,-65.05104356
250,5,500,90,12.5,0.2,0.18,-6.629,-6.65,1.54,-65.05104356
315,5,500,90,12.5,0.1,0.14,-6.848,-6.65,2.74,-65.05104356
400,5,500,90,12.5,0,0.1,-3.251,-3.46,3.04,-65.05104356
500,5,500,90,12.5,0,0.05,-3.427,-3.46,2.34,-65.05104356
630,5,500,90,12.5,-0.1,0,-3.759,-3.46,-0.26,-65.05104356
800,5,500,90,12.5,-0.2,-0.06,-1.936,-2.29,-2.86,-65.05104356
1000,5,500,90,12.5,-0.4,-0.14,-2.36,-2.29,-1.56,-65.05104356
1250,5,500,90,12.5,-0.6,-0.26,-2.851,-2.29,-2.06,-65.05104356
1600,5,500,90,12.5,-1,-0.46,-3.641,-4.99,-2.96,-65.05104356
2000,5,500,90,12.5,-1.6,-0.75,-5.06,-4.99,-4.36,-65.05104356
2500,5,500,90,12.5,-2.5,-1.2,-7.131,-4.99,-6.56,-65.05104356
3150,5,500,90,12.5,-3.9,-1.92,-10.559,-15.87,-9.96,-65.05104356
4000,5,500,90,12.5,-6.1,-3.09,-15.93,-15.87,-15.16,-65.05104356
5000,5,500,90,12.5,-9.7,-4.81,-24.309,-15.87,-23.06,-65.05104356
6300,5,500,90,12.5,-14.8,-7.55,-37.139,-56.69,-34.76,-65.05104356
8000,5,500,90,12.5,-22.7,-11.92,-56.849,-56.69,-51.26,-65.05104356
10000,5,500,90,12.5,-34.7,-18.03,-86.368,-56.69,-73.16,-65.05104356
50,5,500,180,12.5,0.9,5.65,2.972,2.91,-1.16,-65.05104356
63,5,500,180,12.5,1.9,5.55,2.837,2.91,-0.76,-65.05104356
80,5,500,180,12.5,0.3,5.36,2.847,2.91,-0.96,-65.05104356
100,5,500,180,12.5,0.3,2.13,-3.215,-3.28,-2.26,-65.05104356
125,5,500,180,12.5,0.3,1.77,-3.26,-3.28,-3.46,-65.05104356
160,5,500,180,12.5,0.2,1.23,-3.408,-3.28,-1.76,-65.05104356
200,5,500,180,12.5,0.2,0.58,-6.489,-6.65,-0.96,-65.05104356
250,5,500,180,12.5,0.2,-0.2,-6.629,-6.65,0.14,-65.05104356
315,5,500,180,12.5,0.1,-1.08,-6.848,-6.65,1.14,-65.05104356
400,5,500,180,12.5,0,-2.08,-3.251,-3.46,2.04,-65.05104356
500,5,500,180,12.5,0,-3.09,-3.427,-3.46,2.44,-65.05104356
630,5,500,180,12.5,-0.1,-4.26,-3.759,-3.46,1.74,-65.05104356
800,5,500,180,12.5,-0.2,-5.76,-1.936,-2.29,-0.36,-65.05104356
