frequency,wind_speed,distance,wind_direction,flow_resistivity,Nord2000 (delhom),Acventum (delhom),BE2 (Iso9613),Iso9613 (windPro),Nord2000 (windPro),geometric_div
100,3,1000,90,12.5,0.1,-0.045,-5.05,-5.185,-3.095,-71.03369117
125,3,1000,90,12.5,0,-0.075,-5.194,-5.185,-0.395,-71.03369117
160,3,1000,90,12.5,-0.1,-0.125,-5.443,-5.185,1.905,-71.03369117
200,3,1000,90,12.5,-0.2,-0.185,-6.923,-7.205,2.505,-71.03369117
250,3,1000,90,12.5,-0.4,-0.255,-7.164,-7.205,-0.095,-71.03369117
315,3,1000,90,12.5,-0.6,-0.335,-7.583,-7.205,-3.595,-71.03369117
400,3,1000,90,12.5,-4.6,-0.425,-4.186,-4.565,0.205,-71.03369117
500,3,1000,90,12.5,-5.3,-0.515,-4.562,-4.565,-1.395,-71.03369117
630,3,1000,90,12.5,-10,-0.625,-4.994,-4.565,-2.095,-71.03369117
800,3,1000,90,12.5,-13.1,-0.755,-3.471,-4.255,-3.295,-71.03369117
1000,3,1000,90,12.5,-15.5,-0.935,-4.295,-4.255,-2.295,-71.03369117
1250,3,1000,90,12.5,-17.9,-1.185,-5.386,-4.255,-3.295,-71.03369117
1600,3,1000,90,12.5,-21,-1.615,-6.975,-9.615,-5.895,-71.03369117
2000,3,1000,90,12.5,-24.8,-2.215,-9.595,-9.615,-9.495,-71.03369117
2500,3,1000,90,12.5,-29.4,-3.155,-13.765,-9.615,-15.295,-71.03369117
3150,3,1000,90,12.5,-36.2,-4.685,-20.393,-30.685,-18.095,-71.03369117
4000,3,1000,90,12.5,-46.7,-7.165,-30.665,-30.685,-27.695,-71.03369117
5000,3,1000,90,12.5,-63,-10.805,-46.843,-30.685,-44.895,-71.03369117
6300,3,1000,90,12.5,-85.7,-16.595,-71.674,-109.745,-63.495,-71.03369117
8000,3,1000,90,12.5,-119.8,-25.825,-106.384,-109.745,-87.995,-71.03369117
10000,3,1000,90,12.5,-169.4,-38.745,-109.103,-109.745,-118.495,-71.03369117
50,3,1000,180,12.5,0.2,3.495,2.937,2.875,1.305,-71.03369117
63,3,1000,180,12.5,0.3,3.385,2.903,2.875,-0.695,-71.03369117
80,3,1000,180,12.5,0.2,3.195,2.812,2.875,-2.295,-71.03369117
100,3,1000,180,12.5,0.1,-0.045,-5.05,-5.185,-2.395,-71.03369117
125,3,1000,180,12.5,0,-0.415,-5.194,-5.185,-1.295,-71.03369117
160,3,1000,180,12.5,-0.1,-0.975,-5.443,-5.185,0.005,-71.03369117
200,3,1000,180,12.5,-0.2,-1.645,-6.923,-7.205,1.005,-71.03369117
250,3,1000,180,12.5,-0.4,-2.445,-7.164,-7.205,0.505,-71.03369117
315,3,1000,180,12.5,-0.6,-3.345,-7.583,-7.205,-1.395,-71.03369117
400,3,1000,180,12.5,-4.5,-4.395,-4.186,-4.565,-0.595,-71.03369117
500,3,1000,180,12.5,-5.3,-5.435,-4.562,-4.565,-2.195,-71.03369117
630,3,1000,180,12.5,-10,-6.635,-4.994,-4.565,-2.395,-71.03369117
800,3,1000,180,12.5,-13.1,-8.175,-3.471,-4.255,-1.995,-71.03369117
1000,3,1000,180,12.5,-15.5,-10.125,-4.295,-4.255,-4.695,-71.03369117
1250,3,1000,180,12.5,-17.9,-12.985,-5.386,-4.255,-3.795,-71.03369117
1600,3,1000,180,12.5,-21,-17.835,-6.975,-9.615,-6.995,-71.03369117
2000,3,1000,180,12.5,-24.8,-24.715,-9.595,-9.615,-10.495,-71.03369117
2500,3,1000,180,12.5,-29.4,-35.365,-13.765,-9.615,-14.695,-71.03369117
3150,3,1000,180,12.5,-36.2,-52.625,-20.393,-30.685,-18.895,-71.03369117
4000,3,1000,180,12.5,-46.7,-80.825,-30.665,-30.685,-30.595,-71.03369117
5000,3,1000,180,12.5,-63,-121.985,-46.843,-30.685,-44.395,-71.03369117
6300,3,1000,180,12.5,-85.7,-187.615,-71.674,-109.745,-62.495,-71.03369117
8000,3,1000,180,12.5,-119.8,-292.245,-106.384,-109.745,-89.995,-71.03369117
10000,3,1000,180,12.5,-169.4,-438.705,-109.103,-109.745,-118.295,-71.03369117
50,5,1000,0,12.5,-0.6,3.045,2.937,2.875,-1.495,-71.03369117
63,5,1000,0,12.5,0.3,3.005,2.903,2.875,-3.795,-71.03369117
80,5,1000,0,12.5,0.2,2.955,2.812,2.875,-3.595,-71.03369117
100,5,1000,0,12.5,0.2,-0.115,-5.05,-5.185,-1.095,-71.03369117
125,5,1000,0,12.5,0.1,-0.235,-5.194,-5.185,1.905,-71.03369117
160,5,1000,0,12.5,-0.1,-0.395,-5.443,-5.185,2.205,-71.03369117
200,5,1000,0,12.5,-0.3,-0.595,-6.923,-7.205,-0.195,-71.03369117
250,5,1000,0,12.5,-0.5,-0.835,-7.164,-7.205,-0.895,-71.03369117
315,5,1000,0,12.5,-0.7,-1.115,-7.583,-7.205,-1.595,-71.03369117
400,5,1000,0,12.5,-6.1,-1.425,-4.186,-4.565,0.105,-71.03369117
500,5,1000,0,12.5,-2.3,-1.735,-4.562,-4.565,-3.095,-71.03369117
630,5,1000,0,12.5,-7.4,-2.095,-4.994,-4.565,-4.295,-71.03369117
800,5,1000,0,12.5,-11.2,-2.565,-3.471,-4.255,-4.595,-71.03369117
1000,5,1000,0,12.5,-13.8,-3.145,-4.295,-4.255,-3.195,-71.03369117
1250,5,1000,0,12.5,-16.3,-4.005,-5.386,-4.255,-7.595,-71.03369117
1600,5,1000,0,12.5,-19.4,-5.455,-6.975,-9.615,-7.995,-71.03369117
2000,5,1000,0,12.5,-22.9,-7.525,-9.595,-9.615,-7.095,-71.03369117
2500,5,1000,0,12.5,-27.1,-10.715,-13.765,-9.615,-15.395,-71.03369117
3150,5,1000,0,12.5,-33.2,-15.895,-20.393,-30.685,-21.495,-71.03369117
4000,5,1000,0,12.5,-42.7,-24.355,-30.665,-30.685,-28.895,-71.03369117
5000,5,1000,0,12.5,-57.5,-36.705,-46.843,-30.685,-42.695,-71.03369117
6300,5,1000,0,12.5,-78.4,-56.395,-71.674,-109.745,-64.395,-71.03369117
8000,5,1000,0,12.5,-110.3,-87.775,-106.384,-109.745,-86.395,-71.03369117
10000,5,1000,0,12.5,-158.4,-131.715,-109.103,-109.745,-115.095,-71.03369117
50,5,1000,90,12.5,-0.7,3.005,2.937,2.875,0.705,-71.03369117
63,5,1000,90,12.5,0.3,2.995,2.903,2.875,-1.895,-71.03369117
80,5,1000,90,12.5,0.2,2.985,2.812,2.875,-3.695,-71.03369117
100,5,1000,90,12.5,0.2,-0.035,-5.05,-5.185,-3.095,-71.03369117
125,5,1000,90,12.5,0.1,-0.065,-5.194,-5.185,-0.395,-71.03369117
160,5,1000,90,12.5,-0.1,-0.115,-5.443,-5.185,1.905,-71.03369117
200,5,1000,90,12.5,-0.3,-0.175,-6.923,-7.205,2.505,-71.03369117
250,5,1000,90,12.5,-0.5,-0.235,-7.164,-7.205,-0.095,-71.03369117
315,5,1000,90,12.5,-0.7,-0.315,-7.583,-7.205,-3.595,-71.03369117
400,5,1000,90,12.5,-5.6,-0.395,-4.186,-4.565,0.205,-71.03369117
500,5,1000,90,12.5,-2.8,-0.485,-4.562,-4.565,-1.295,-71.03369117
630,5,1000,90,12.5,-7.9,-0.585,-4.994,-4.565,-2.195,-71.03369117
800,5,1000,90,12.5,-11.5,-0.715,-3.471,-4.255,-3.195,-71.03369117
1000,5,1000,90,12.5,-14.1,-0.875,-4.295,-4.255,-2.195,-71.03369117
1250,5,1000,90,12.5,-16.5,-1.115,-5.386,-4.255,-3.295,-71.03369117
1600,5,1000,90,12.5,-19.6,-1.525,-6.975,-9.615,-5.695,-71.03369117
2000,5,1000,90,12.5,-23.1,-2.095,-9.595,-9.615,-9.795,-71.03369117
2500,5,1000,90,12.5,-27.3,-2.985,-13.765,-9.615,-15.595,-71.03369117
3150,5,1000,90,12.5,-33.4,-4.415,-20.393,-30.685,-18.195,-71.03369117
4000,5,1000,90,12.5,-43,-6.765,-30.665,-30.685,-27.995,-71.03369117
5000,5,1000,90,12.5,-57.7,-10.195,-46.843,-30.685,-45.795,-71.03369117
6300,5,1000,90,12.5,-78.6,-15.665,-71.674,-109.745,-62.395,-71.03369117
8000,5,1000,90,12.5,-110.5,-24.385,-106.384,-109.745,-87.195,-71.03369117
10000,5,1000,90,12.5,-158.6,-36.595,-109.103,-109.745,-120.695,-71.03369117
50,5,1000,180,12.5,-0.7,7.695,2.937,2.875,1.405,-71.03369117
63,5,1000,180,12.5,0.3,7.485,2.903,2.875,-0.295,-71.03369117
80,5,1000,180,12.5,0.2,7.125,2.812,2.875,-1.595,-71.03369117
100,5,1000,180,12.5,0.2,3.665,-5.05,-5.185,-1.595,-71.03369117
125,5,1000,180,12.5,0.1,2.935,-5.194,-5.185,-0.395,-71.03369117
160,5,1000,180,12.5,-0.1,1.855,-5.443,-5.185,0.305,-71.03369117
200,5,1000,180,12.5,-0.3,0.565,-6.923,-7.205,0.005,-71.03369117
250,5,1000,180,12.5,-0.5,-0.985,-7.164,-7.205,-0.895,-71.03369117
315,5,1000,180,12.5,-0.7,-2.745,-7.583,-7.205,-2.095,-71.03369117
400,5,1000,180,12.5,-5.6,-4.755,-4.186,-4.565,-1.095,-71.03369117
500,5,1000,180,12.5,-2.8,-6.765,-4.562,-4.565,-0.995,-71.03369117
630,5,1000,180,12.5,-7.9,-9.095,-4.994,-4.565,-1.895,-71.03369117
800,5,1000,180,12.5,-11.6,-12.085,-3.471,-4.255,-2.295,-71.03369117
1000,5,1000,180,12.5,-14.1,-15.855,-4.295,-4.255,-3.795,-71.03369117
1250,5,1000,180,12.5,-16.6,-21.385,-5.386,-4.255,-5.095,-71.03369117
1600,5,1000,180,12.5,-19.6,-30.775,-6.975,-9.615,-6.095,-71.03369117
2000,5,1000,180,12.5,-23.2,-44.105,-9.595,-9.615,-9.495,-71.03369117
2500,5,1000,180,12.5,-27.3,-64.705,-13.765,-9.615,-13.095,-71.03369117
3150,5,1000,180,12.5,-33.5,-98.115,-20.393,-30.685,-20.095,-71.03369117
4000,5,1000,180,12.5,-43,-152.685,-30.665,-30.685,-29.095,-71.03369117
5000,5,1000,180,12.5,-57.7,-232.365,-46.843,-30.685,-43.195,-71.03369117
6300,5,1000,180,12.5,-78.6,-359.385,-71.674,-109.745,-63.195,-71.03369117
8000,5,1000,180,12.5,-110.6,-561.895,-106.384,-109.745,-88.795,-71.03369117
10000,5,1000,180,12.5,-158.6,-845.365,-109.103,-109.745,-117.595,-71.03369117
50,7,1000,0,12.5,-0.4,3.045,2.937,2.875,-2.595,-71.03369117
63,7,1000,0,12.5,0.3,3.005,2.903,2.875,-3.595,-71.03369117
80,7,1000,0,12.5,0.2,2.955,2.812,2.875,-2.795,-71.03369117
100,7,1000,0,12.5,0.2,-0.115,-5.05,-5.185,-0.295,-71.03369117
125,7,1000,0,12.5,0.1,-0.235,-5.194,-5.185,1.905,-71.03369117
160,7,1000,0,12.5,-0.1,-0.395,-5.443,-5.185,0.705,-71.03369117
200,7,1000,0,12.5,-0.3,-0.595,-6.923,-7.205,0.805,-71.03369117
250,7,1000,0,12.5,-0.5,-0.835,-7.164,-7.205,-0.795,-71.03369117
315,7,1000,0,12.5,-0.7,-1.115,-7.583,-7.205,-1.095,-71.03369117
400,7,1000,0,12.5,-7.9,-1.425,-4.186,-4.565,-2.295,-71.03369117
500,7,1000,0,12.5,-2.1,-1.735,-4.562,-4.565,-0.195,-71.03369117
630,7,1000,0,12.5,-6.2,-2.095,-4.994,-4.565,-0.895,-71.03369117
800,7,1000,0,12.5,-10.4,-2.565,-3.471,-4.255,-4.095,-71.03369117
1000,7,1000,0,12.5,-13.2,-3.145,-4.295,-4.255,-2.795,-71.03369117
1250,7,1000,0,12.5,-15.7,-4.005,-5.386,-4.255,-3.195,-71.03369117
1600,7,1000,0,12.5,-18.8,-5.455,-6.975,-9.615,-5.195,-71.03369117
2000,7,1000,0,12.5,-22.3,-7.525,-9.595,-9.615,-7.695,-71.03369117
2500,7,1000,0,12.5,-26.4,-10.715,-13.765,-9.615,-11.995,-71.03369117
3150,7,1000,0,12.5,-32.4,-15.895,-20.393,-30.685,-17.495,-71.03369117
4000,7,1000,0,12.5,-41.7,-24.355,-30.665,-30.685,-30.095,-71.03369117
5000,7,1000,0,12.5,-56,-36.705,-46.843,-30.685,-42.695,-71.03369117
6300,7,1000,0,12.5,-76.5,-56.395,-71.674,-109.745,-62.495,-71.03369117
8000,7,1000,0,12.5,-107.9,-87.775,-106.384,-109.745,-91.995,-71.03369117
10000,7,1000,0,12.5,-155.4,-131.715,-109.103,-109.745,-118.395,-71.03369117
50,7,1000,90,12.5,-0.1,3.015,2.937,2.875,0.805,-71.03369117
63,7,1000,90,12.5,0.3,3.005,2.903,2.875,-1.795,-71.03369117
80,7,1000,90,12.5,0.2,2.995,2.812,2.875,-3.695,-71.03369117
100,7,1000,90,12.5,0.2,-0.025,-5.05,-5.185,-3.095,-71.03369117
125,7,1000,90,12.5,0.1,-0.055,-5.194,-5.185,-0.495,-71.03369117
160,7,1000,90,12.5,-0.1,-0.085,-5.443,-5.185,1.805,-71.03369117
200,7,1000,90,12.5,-0.3,-0.135,-6.923,-7.205,2.505,-71.03369117
250,7,1000,90,12.5,-0.5,-0.185,-7.164,-7.205,-0.095,-71.03369117
315,7,1000,90,12.5,-0.7,-0.255,-7.583,-7.205,-3.595,-71.03369117
400,7,1000,90,12.5,-6.1,-0.325,-4.186,-4.565,0.105,-71.03369117
500,7,1000,90,12.5,-1.7,-0.395,-4.562,-4.565,-1.295,-71.03369117
630,7,1000,90,12.5,-6.9,-0.475,-4.994,-4.565,-2.295,-71.03369117
800,7,1000,90,12.5,-10.9,-0.585,-3.471,-4.255,-3.095,-71.03369117
1000,7,1000,90,12.5,-13.6,-0.715,-4.295,-4.255,-2.195,-71.03369117
1250,7,1000,90,12.5,-16.1,-0.905,-5.386,-4.255,-3.295,-71.03369117
1600,7,1000,90,12.5,-19.1,-1.235,-6.975,-9.615,-5.595,-71.03369117
2000,7,1000,90,12.5,-22.6,-1.705,-9.595,-9.615,-10.095,-71.03369117
2500,7,1000,90,12.5,-26.7,-2.435,-13.765,-9.615,-15.595,-71.03369117
3150,7,1000,90,12.5,-32.7,-3.615,-20.393,-30.685,-18.495,-71.03369117
4000,7,1000,90,12.5,-42,-5.535,-30.665,-30.685,-28.395,-71.03369117
5000,7,1000,90,12.5,-56.3,-8.345,-46.843,-30.685,-46.095,-71.03369117
6300,7,1000,90,12.5,-76.8,-12.815,-71.674,-109.745,-61.795,-71.03369117
8000,7,1000,90,12.5,-108.2,-19.945,-106.384,-109.745,-86.895,-71.03369117
10000,7,1000,90,12.5,-155.7,-29.935,-109.103,-109.745,-120.095,-71.03369117
50,7,1000,180,12.5,-0.1,7.635,2.937,2.875,1.105,-71.03369117
63,7,1000,180,12.5,0.3,7.395,2.903,2.875,0.205,-71.03369117
80,7,1000,180,12.5,0.2,6.985,2.812,2.875,-1.495,-71.03369117
100,7,1000,180,12.5,0.2,3.445,-5.05,-5.185,-0.795,-71.03369117
125,7,1000,180,12.5,0.1,2.615,-5.194,-5.185,0.505,-71.03369117
160,7,1000,180,12.5,-0.1,1.375,-5.443,-5.185,1.305,-71.03369117
200,7,1000,180,12.5,-0.3,-0.105,-6.923,-7.205,0.905,-71.03369117
250,7,1000,180,12.5,-0.5,-1.885,-7.164,-7.205,-0.795,-71.03369117
315,7,1000,180,12.5,-0.7,-3.905,-7.583,-7.205,-2.195,-71.03369117
400,7,1000,180,12.5,-6.1,-6.215,-4.186,-4.565,-0.995,-71.03369117
500,7,1000,180,12.5,-1.8,-8.525,-4.562,-4.565,-2.295,-71.03369117
630,7,1000,180,12.5,-7,-11.195,-4.994,-4.565,-2.495,-71.03369117
800,7,1000,180,12.5,-11,-14.635,-3.471,-4.255,-3.495,-71.03369117
1000,7,1000,180,12.5,-13.6,-18.965,-4.295,-4.255,-4.295,-71.03369117
1250,7,1000,180,12.5,-16.1,-25.305,-5.386,-4.255,-5.395,-71.03369117
1600,7,1000,180,12.5,-19.2,-36.095,-6.975,-9.615,-6.895,-71.03369117
2000,7,1000,180,12.5,-22.7,-51.395,-9.595,-9.615,-9.195,-71.03369117
2500,7,1000,180,12.5,-26.7,-75.045,-13.765,-9.615,-13.195,-71.03369117
3150,7,1000,180,12.5,-32.7,-113.405,-20.393,-30.685,-19.795,-71.03369117
4000,7,1000,180,12.5,-42,-176.065,-30.665,-30.685,-29.195,-71.03369117
5000,7,1000,180,12.5,-56.4,-267.545,-46.843,-30.685,-43.395,-71.03369117
6300,7,1000,180,12.5,-76.8,-413.375,-71.674,-109.745,-63.295,-71.03369117
8000,7,1000,180,12.5,-108.2,-645.895,-106.384,-109.745,-88.795,-71.03369117
10000,7,1000,180,12.5,-155.7,-971.365,-109.103,-109.745,-117.795,-71.03369117
50,9,1000,0,12.5,1.1,3.045,2.937,2.875,-2.895,-71.03369117
63,9,1000,0,12.5,0.3,3.005,2.903,2.875,-2.995,-71.03369117
80,9,1000,0,12.5,0.2,2.955,2.812,2.875,-2.095,-71.03369117
100,9,1000,0,12.5,0.2,-0.115,-5.05,-5.185,0.205,-71.03369117
125,9,1000,0,12.5,0.1,-0.235,-5.194,-5.185,1.305,-71.03369117
160,9,1000,0,12.5,-0.1,-0.395,-5.443,-5.185,0.505,-71.03369117
200,9,1000,0,12.5,-0.3,-0.595,-6.923,-7.205,0.905,-71.03369117
250,9,1000,0,12.5,-0.5,-0.835,-7.164,-7.205,-2.195,-71.03369117
315,9,1000,0,12.5,-0.7,-1.115,-7.583,-7.205,0.405,-71.03369117
400,9,1000,0,12.5,-6.8,-1.425,-4.186,-4.565,-1.395,-71.03369117
500,9,1000,0,12.5,-3.2,-1.735,-4.562,-4.565,-2.795,-71.03369117
630,9,1000,0,12.5,-4.9,-2.095,-4.994,-4.565,-0.695,-71.03369117
800,9,1000,0,12.5,-9.4,-2.565,-3.471,-4.255,-0.895,-71.03369117
1000,9,1000,0,12.5,-12.4,-3.145,-4.295,-4.255,-1.595,-71.03369117
1250,9,1000,0,12.5,-15,-4.005,-5.386,-4.255,-4.595,-71.03369117
1600,9,1000,0,12.5,-18.2,-5.455,-6.975,-9.615,-7.295,-71.03369117
2000,9,1000,0,12.5,-21.7,-7.525,-9.595,-9.615,-9.595,-71.03369117
2500,9,1000,0,12.5,-25.7,-10.715,-13.765,-9.615,-11.795,-71.03369117
3150,9,1000,0,12.5,-31.6,-15.895,-20.393,-30.685,-21.895,-71.03369117
4000,9,1000,0,12.5,-40.7,-24.355,-30.665,-30.685,-28.995,-71.03369117
5000,9,1000,0,12.5,-54.7,-36.705,-46.843,-30.685,-41.095,-71.03369117
6300,9,1000,0,12.5,-74.8,-56.395,-71.674,-109.745,-63.795,-71.03369117
8000,9,1000,0,12.5,-105.7,-87.775,-106.384,-109.745,-86.395,-71.03369117
10000,9,1000,0,12.5,-152.7,-131.715,-109.103,-109.745,-119.795,-71.03369117
50,9,1000,90,12.5,0.9,3.015,2.937,2.875,0.805,-71.03369117
63,9,1000,90,12.5,0.3,3.005,2.903,2.875,-1.795,-71.03369117
80,9,1000,90,12.5,0.2,2.995,2.812,2.875,-3.695,-71.03369117
100,9,1000,90,12.5,0.2,-0.015,-5.05,-5.185,-3.095,-71.03369117
125,9,1000,90,12.5,0.1,-0.045,-5.194,-5.185,-0.495,-71.03369117
160,9,1000,90,12.5,-0.1,-0.075,-5.443,-5.185,1.805,-71.03369117
200,9,1000,90,12.5,-0.3,-0.115,-6.923,-7.205,2.505,-71.03369117
250,9,1000,90,12.5,-0.5,-0.165,-7.164,-7.205,0.005,-71.03369117
315,9,1000,90,12.5,-0.7,-0.215,-7.583,-7.205,-3.595,-71.03369117
400,9,1000,90,12.5,-6.9,-0.285,-4.186,-4.565,0.105,-71.03369117
500,9,1000,90,12.5,-2.5,-0.345,-4.562,-4.565,-1.295,-71.03369117
630,9,1000,90,12.5,-5.8,-0.415,-4.994,-4.565,-2.395,-71.03369117
800,9,1000,90,12.5,-10.2,-0.505,-3.471,-4.255,-2.995,-71.03369117
1000,9,1000,90,12.5,-13,-0.625,-4.295,-4.255,-2.195,-71.03369117
1250,9,1000,90,12.5,-15.5,-0.795,-5.386,-4.255,-3.295,-71.03369117
1600,9,1000,90,12.5,-18.7,-1.085,-6.975,-9.615,-5.495,-71.03369117
2000,9,1000,90,12.5,-22.1,-1.505,-9.595,-9.615,-10.395,-71.03369117
2500,9,1000,90,12.5,-26.1,-2.135,-13.765,-9.615,-15.495,-71.03369117
3150,9,1000,90,12.5,-32,-3.175,-20.393,-30.685,-18.795,-71.03369117
4000,9,1000,90,12.5,-41.1,-4.865,-30.665,-30.685,-28.995,-71.03369117
5000,9,1000,90,12.5,-55.1,-7.335,-46.843,-30.685,-45.495,-71.03369117
6300,9,1000,90,12.5,-75.2,-11.275,-71.674,-109.745,-61.395,-71.03369117
8000,9,1000,90,12.5,-106.1,-17.555,-106.384,-109.745,-86.995,-71.03369117
10000,9,1000,90,12.5,-153,-26.335,-109.103,-109.745,-117.795,-71.03369117
50,9,1000,180,12.5,0.8,12.545,2.937,2.875,0.505,-71.03369117
63,9,1000,180,12.5,0.3,12.255,2.903,2.875,0.205,-71.03369117
80,9,1000,180,12.5,0.2,11.755,2.812,2.875,-1.695,-71.03369117
100,9,1000,180,12.5,0.2,8.115,-5.05,-5.185,-0.395,-71.03369117
125,9,1000,180,12.5,0.1,7.125,-5.194,-5.185,0.405,-71.03369117
160,9,1000,180,12.5,-0.1,5.625,-5.443,-5.185,0.805,-71.03369117
200,9,1000,180,12.5,-0.3,3.845,-6.923,-7.205,1.005,-71.03369117
250,9,1000,180,12.5,-0.5,1.715,-7.164,-7.205,-0.295,-71.03369117
315,9,1000,180,12.5,-0.7,-0.705,-7.583,-7.205,-2.495,-71.03369117
400,9,1000,180,12.5,-6.7,-3.475,-4.186,-4.565,-0.495,-71.03369117
500,9,1000,180,12.5,-2.4,-6.255,-4.562,-4.565,-1.695,-71.03369117
630,9,1000,180,12.5,-5.9,-9.455,-4.994,-4.565,-2.495,-71.03369117
800,9,1000,180,12.5,-10.2,-13.585,-3.471,-4.255,-3.595,-71.03369117
1000,9,1000,180,12.5,-13,-18.775,-4.295,-4.255,-3.195,-71.03369117
1250,9,1000,180,12.5,-15.6,-26.385,-5.386,-4.255,-5.095,-71.03369117
1600,9,1000,180,12.5,-18.7,-39.335,-6.975,-9.615,-6.395,-71.03369117
2000,9,1000,180,12.5,-22.2,-57.685,-9.595,-9.615,-8.395,-71.03369117
2500,9,1000,180,12.5,-26.2,-86.075,-13.765,-9.615,-13.295,-71.03369117
3150,9,1000,180,12.5,-32,-132.105,-20.393,-30.685,-19.095,-71.03369117
4000,9,1000,180,12.5,-41.1,-207.295,-30.665,-30.685,-30.695,-71.03369117
5000,9,1000,180,12.5,-55.1,-317.065,-46.843,-30.685,-43.695,-71.03369117
6300,9,1000,180,12.5,-75.2,-492.075,-71.674,-109.745,-62.595,-71.03369117
8000,9,1000,180,12.5,-106.1,-771.085,-106.384,-109.745,-88.295,-71.03369117
10000,9,1000,180,12.5,-153.1,-1161.655,-109.103,-109.745,-117.295,-71.03369117
50,3,1500,0,12.5,0.2,5.382,-4.827,2.822,-5.058,-74.53243398
63,3,1500,0,12.5,0.2,4.742,-4.861,2.822,-5.458,-74.53243398
80,3,1500,0,12.5,0,3.982,-4.952,2.822,-5.958,-74.53243398
100,3,1500,0,12.5,-0.1,0.222,-5.313,-5.618,-5.658,-74.53243398
125,3,1500,0,12.5,-0.3,-0.598,-5.658,-5.618,-4.658,-74.53243398
160,3,1500,0,12.5,-0.6,-1.568,-6.007,-5.618,-2.858,-74.53243398
200,3,1500,0,12.5,-1,-2.448,-7.287,-7.768,-1.358,-74.53243398
250,3,1500,0,12.5,-1.4,-3.288,-7.727,-7.768,-0.258,-74.53243398
315,3,1500,0,12.5,-5.9,-4.098,-8.247,-7.768,0.342,-74.53243398
400,3,1500,0,12.5,-10.5,-4.888,-7.35,-5.678,0.042,-74.53243398
500,3,1500,0,12.5,-16.5,-5.618,-7.826,-5.678,-1.058,-74.53243398
630,3,1500,0,12.5,-19.6,-6.408,-8.358,-5.678,-3.258,-74.53243398
800,3,1500,0,12.5,-22.3,-7.358,-9.035,-6.238,-4.158,-74.53243398
1000,3,1500,0,12.5,-25.1,-8.478,-10.058,-6.238,-5.358,-74.53243398
1250,3,1500,0,12.5,-28.5,-10.008,-11.45,-6.238,-7.058,-74.53243398
1600,3,1500,0,12.5,-33.3,-12.448,-13.639,-14.258,-9.558,-74.53243398
2000,3,1500,0,12.5,-40.5,-15.798,-17.159,-14.258,-13.458,-74.53243398
2500,3,1500,0,12.5,-50,-20.818,-22.729,-14.258,-19.458,-74.53243398
3150,3,1500,0,12.5,-64.4,-28.818,-31.557,-45.518,-28.558,-74.53243398
4000,3,1500,0,12.5,-87.1,-41.758,-45.529,-45.518,-42.058,-74.53243398
5000,3,1500,0,12.5,-122.9,-60.518,-69.407,-45.518,-61.258,-74.53243398
6300,3,1500,0,12.5,-173.1,-90.308,-102.937,-162.798,-86.658,-74.53243398
8000,3,1500,0,12.5,-248.6,-137.668,-105.648,-162.798,-115.958,-74.53243398
10000,3,1500,0,12.5,-358.9,-203.848,-105.667,-162.798,-140.558,-74.53243398
50,3,1500,90,12.5,0.2,5.332,-5.327,2.822,-5.658,-74.53243398
63,3,1500,90,12.5,0.2,4.722,-5.361,2.822,-6.358,-74.53243398
80,3,1500,90,12.5,0,4.022,-5.452,2.822,-6.758,-74.53243398
100,3,1500,90,12.5,-0.1,0.342,-5.813,-5.618,-7.258,-74.53243398
125,3,1500,90,12.5,-0.3,-0.368,-6.058,-5.618,-7.358,-74.53243398
160,3,1500,90,12.5,-0.6,-1.148,-6.407,-5.618,-6.958,-74.53243398
200,3,1500,90,12.5,-1,-1.818,-7.787,-7.768,-6.258,-74.53243398
250,3,1500,90,12.5,-1.4,-2.418,-8.227,-7.768,-5.458,-74.53243398
315,3,1500,90,12.5,-5.7,-2.938,-8.747,-7.768,-4.458,-74.53243398
400,3,1500,90,12.5,-10.9,-3.388,-7.75,-5.678,-3.558,-74.53243398
500,3,1500,90,12.5,-16.8,-3.788,-8.326,-5.678,-2.958,-74.53243398
630,3,1500,90,12.5,-19.7,-4.198,-8.858,-5.678,-3.058,-74.53243398
800,3,1500,90,12.5,-22.4,-4.658,-9.535,-6.238,-3.858,-74.53243398
1000,3,1500,90,12.5,-25.3,-5.158,-10.558,-6.238,-5.158,-74.53243398
1250,3,1500,90,12.5,-28.6,-5.788,-11.95,-6.238,-7.058,-74.53243398
1600,3,1500,90,12.5,-33.4,-6.688,-14.139,-14.258,-9.558,-74.53243398
2000,3,1500,90,12.5,-40.6,-7.848,-17.659,-14.258,-13.458,-74.53243398
2500,3,1500,90,12.5,-50.1,-9.498,-23.229,-14.258,-19.458,-74.53243398
3150,3,1500,90,12.5,-64.5,-12.018,-32.057,-45.518,-28.558,-74.53243398
4000,3,1500,90,12.5,-87.2,-16.018,-45.929,-45.518,-42.058,-74.53243398
5000,3,1500,90,12.5,-123,-21.718,-69.907,-45.518,-61.258,-74.53243398
6300,3,1500,90,12.5,-173.2,-30.678,-103.137,-162.798,-86.658,-74.53243398
8000,3,1500,90,12.5,-248.6,-44.848,-105.648,-162.798,-115.958,-74.53243398
10000,3,1500,90,12.5,-358.9,-64.568,-105.667,-162.798,-140.558,-74.53243398
50,3,1500,180,12.5,0.2,6.062,-8.027,2.822,-4.758,-74.53243398
63,3,1500,180,12.5,0.2,5.302,-8.061,2.822,-5.358,-74.53243398
80,3,1500,180,12.5,0,4.352,-8.152,2.822,-6.658,-74.53243398
